id_operacion,id_tipo,id_unidad_resp,id_zona,nombre_operacion,fecha_inicio,fecha_fin,efectivos_desplegados,vehiculos_utilizados,duracion_dias,costo_operacion,resultado,detenidos,area_km2,incidentes,observaciones
317,2,32,24,Op. Soberanía #60,03-28-2022,05/04/2022,cien,~25,(8 días),103293.38,positivo,5 pers.,  800 km2  ,8,"Se detectó movimiento sospechoso
en zona limítrofe"
318,7,33,22,Puma—2021,26-jun-2021,23/JUL/2021,~300,aprox. 16 vehículos,27 días,71121,Regular,,50 km²,cero,Ejercicio táctico con fuego real
319,8,48,11,Operación Alianza 2021,2021/11/17,10/12/2021,~500,aprox. 29 vehículos,23 días,"Bs. 97,342.25","Sí, exitosa",0 personas,~100 km²,1,"Intercambio de
experiencias con ejército vecino"
320,3,31,12,Rastreo—2025,11/01/2025,23/ENE/2025,aprox. 150 efectivos,aprox. 24 vehículos,+12,"USD 21,480.64",incompleta,Ninguno,  50 km2  ,(5),Operativo en 'ruta del contrabando'
321,3,32,23,Op.Interceptor/2025,03-08-2025,28/08/2025,+150,aprox 12,~25,30701,Parcialmente exitosa,cero,200,aprox. 8,Coordinación con Aduana Nacional
322,3,32,14,Control Total (julio 2023),6/DIC/2023,12-11-2023,200 efectivos,~18,5,63695,sin resultados,2,aprox. 250,3 incidentes,"Decomiso de
vehículos sin documentación"
323,1,45,1,"Op. ""Amanecer"" #58","septiembre 17, 2021",20-sep-2021,80,dieciocho,3.,44306 bolivianos,-,5,1000 km2,Sin incidentes,"Operación coordinada con
FELCN y Policía Nacional"
324,1,47,16,Justicia (junio 2023),30/05/2023,28/06/2023,aprox. 300 efectivos,23,  29  ,"Bs 118.414,22",Logrado,  15  ,800 km2,1 incidentes,"Zona de difícil acceso, se requirió apoyo aéreo"
325,6,23,6,Operación 'Cooperación',2021/06/23,15-jul-2021,100 efectivos,9,22,8902,OBJETIVO CUMPLIDO,sin detenidos,100.0,n/a,"  Jornada médica y dental
para comunidades rurales  "
326,8,48,10,"Op. ""Confluencia"" #14",25-may-2021,9/JUN/2021,aprox. 300,19.,  15  ,"$us 10,127.50",Favorable,NINGUNO,200 Km2,1 inc.,"Intercambio de
experiencias con ejército vecino"
327,3,40,24,Op. Filtro #46,20210817,08-23-2021,,,,,,,,,
328,4,22,17,Refugio (enero 2025),2025-02-08,03-24-2025,(400 efectivos),aprox. 27,(44 días),171193,no logrado,NINGUNO,1000.0,5 inc.,"Evacuación de familias afectadas
por crecida de ríos"
329,1,47,1,Águila (septiembre 2021),2021/04/05,04-18-2021,+80,aprox. 6 vehículos,+13,59623 bolivianos,FALLIDA,3 personas,~250 km²,3 incidentes,"Se establecieron puntos de control
en rutas secundarias"
330,7,36,22,Op. Amazonia #36,2022-03-17,04-12-2022,CINCUENTA,33 vehículos,26,30135,Logrado,ninguno,50 KM2,1,
331,3,31,11,Cerco—2023,19-09-2023,13/10/2023,  80  ,30.,24 días,BS 79652,favorable,10 detenidos,aprox. 150,Ninguno,COORDINACIÓN CON ADUANA NACIONAL
332,1,46,1,OPERACIÓN TRUENO 2023,27/MAR/2023,04/04/2023,  250  ,n/a,8 días,n/a,incompleta,3,150,n/a,"Operación coordinada con
FELCN y Policía Nacional"
333,1,47,8,Patria—2025,2025-08-25,26/08/2025,aprox. 80,(21 vehículos),1,"Bs.138,369",completada,aprox. 1,300 Km2,ninguno,Operación nocturna — visibilidad reducida
334,1,47,16,Trueno—2022,20220508,20220528,+100,dieciséis,20.,"USD 17,063.05",bueno,1 det.,aprox. 250,1,Resultado: 'bueno' según informe final
335,1,49,8,Op. Libertad #64,20/03/2024,19/ABR/2024,150.,5,(30 días),54484,sin dato,10 detenidos,300 Km2,uno,
336,4,13,17,Op.Esperanza/2022,02/04/2022,3-may-2022,aprox. 150 efectivos,ONCE,31,"USD 29,546.51","Sí, exitosa",-,5000,2 incidentes,"Puentes temporales instalados
por ingeniería militar"
337,2,41,14,Operación 'Defensa',31/05/2021,08/06/2021,120,23,8,93019.75,incompleta,5 detenidos,50.0,aprox. 1,Control de 'puntos ciegos' en la frontera
338,7,2,10,Op Altiplano - 2023/37,28-dic-2023,12-31-2023,(500 efectivos),aprox 14,aprox 3,30415.84,COMPLETADA,n/a,100.0,sin incidentes,Ejercicio de 'guerra no convencional'
339,8,34,4,Op.Integración Regional/2023,07/06/2023,20-jun-2023,(200 efectivos),aprox. 38 vehículos,+13,"$us 4,436.74",resultado positivo,Sin detenidos,aprox. 1000 km²,Ninguno,  Ejercicio multinacional — fuerzas de 4 países  
340,3,41,21,Op. Filtro #52,19/01/2024,26/ENE/2024,aprox. 150,aprox. 13,SIETE,68867,Parcialmente exitoso,5 det.,250 km²,2,
341,5,11,7,Sofocación—2021,2021/12/27,2021/12/31,aprox 150,48,4 días,Bs 304.661,Operación concluida,0 personas,200 km²,DOS,"Contención de incendio forestal
en zona protegida"
342,4,22,13,Op. Protección Civil #47,2025/11/06,13-11-2025,aprox 500,aprox 11,7,"$us 27,441.51",sin resultados,n/a,200 Km2,2,
343,5,22,3,Operación 'Llama',2023-07-07,15/07/2023,+500,49,8.,"USD 50,555.59",Positivo,0 personas,  5000 km2  ,1,COORDINACIÓN CON 'BOMBEROS FORESTALES' Y VOLUNTARIOS
344,3,32,14,OPERACIÓN INTERCEPTOR 2022,29/08/2022,30/AGO/2022,aprox. 50,14,1.,124219,Bueno,aprox. 1,100 km2,2,Coordinación con Aduana Nacional
345,2,34,5,OPERACIÓN SOBERANÍA 2022,20220519,15/06/2022,80 efectivos,(6 vehículos),27,"Bs.- 127,761.17",Parcialmente exitoso,  10  ,  150 km2  ,-,RELEVO DE PERSONAL EN POSICIONES AVANZADAS
346,3,34,14,Operación 'Muralla',12-19-2021,31-dic-2021,120,~9,DOCE,36283,"Sí, exitosa",Ninguno,200,1,"Decomiso de
vehículos sin documentación"
347,2,31,24,Operación Defensa 2025,10/08/2025,08-22-2025,aprox. 250,(8 vehículos),aprox 12,"42,975.60 Bs",SATISFACTORIO,  2  ,150 Km2,n/a,"Coordinación con fuerzas
del país vecino"
348,1,47,16,Operación Tormenta 2023,2023-12-30,31-dic-2023,aprox 250,24 vehículos,aprox 1,"Bs.35,255",regular,uno,aprox. 1000 km²,Sin incidentes,"Operación coordinada con
FELCN y Policía Nacional"
349,7,42,8,  Amazonia 2024  ,04-06-2024,2024/04/13,500,  12  ,7,"$us 14,625.34",logrado,0,aprox. 100 km²,n/a,Entrenamiento de supervivencia en selva
350,2,41,6,Op Centinela - 2021/64,2021/08/02,08-16-2021,aprox. 300,20,  14  ,130800,bueno,2 personas,300 Km2,dos,Ref. Op. 2021-6: Patrullaje de rutina sin novedades
351,1,44,1,Dragón (septiembre 2022),"febrero 21, 2022",5-mar-2022,+300,6,12,149341 bolivianos,favorable,  20  ,200 km²,aprox. 3,Resultado: 'favorable' según informe final
352,5,10,3,Operación Cortafuego 2024,20240804,08-30-2024,100.,treinta,aprox 26,458177.73,inconclusa,cero,  1000 km2  ,10 incidentes,
353,4,13,7,Rescate—2025,2025-03-20,25/ABR/2025,aprox. 500 efectivos,29,aprox 36,404835,sin dato,NINGUNO,5000 km2,  1  ,Rescate en zonas 'inundadas' por desborde
354,5,11,18,OPERACIÓN BRASA 2022,20220703,20-07-2022,aprox 100,DIECISIETE,DIECISIETE,"Bs.- 427,173.96",bueno,N/A,100 km2,aprox. 1,Ref. Op. 2022-18: Apoyo con cortafuegos — área afectada extensa
355,6,15,15,Progreso—2023,10-may-2023,2023/05/21,aprox. 50,aprox. 13 vehículos,11,12830,exitosa,n/a,  100 km2  ,sin incidentes,"JORNADA MÉDICA Y DENTAL
PARA COMUNIDADES RURALES"
356,1,50,1,Patria—2024,06-28-2024,20240723,~100,~19,  25  ,"Bs.- 69,244.44",Aceptable,8 det.,  300 km2  ,UNO,Patrullaje con apoyo de unidades caninas
357,8,25,6,Op.Fraternidad/2022,2022-11-23,22/12/2022,aprox 100,27 vehículos,29 días,"Bs. 155,922.43",bueno,Ninguno,~200 km²,SIN INCIDENTES,"Maniobras combinadas
tierras bajas y altiplano"
358,7,30,15,"Op. ""Cóndor"" #39",2021/11/07,2021-12-05,100.,29 vehículos,28,"Bs.101,331",No reportado,sin detenidos,50,cero,
359,1,47,2,Op. Halcón #68,20251012,2025-11-08,DOSCIENTOS,aprox. 24 vehículos,aprox. 27,143259,COMPLETADA,dos,  150 km2  ,Sin incidentes,Decomiso de sustancias controladas en zona operativa
360,6,46,9,"Op. ""Unidad"" #30",16/ABR/2023,04-20-2023,100,aprox. 11,aprox 4,"$us 1,667.32",positivo,cero,aprox. 100 km²,0 incidentes,Ref. Op. 2023-9: 
361,4,11,13,OPERACIÓN AMPARO 2021,01/01/2021,20-ene-2021,200 efectivos,aprox. 36,19,"USD 48,696.26",en curso,NINGUNO,  200 km2  ,aprox. 1,"Coordinación con Defensa Civil
y municipios afectados"
362,3,34,11,Blindaje (julio 2023),24/AGO/2023,09-07-2023,120 efectivos,19 vehículos,aprox 14,30023.04,EXITOSA,3,aprox. 500,  2  ,Incautación de mercadería de contrabando
363,1,46,8,Operación Libertad 2023-69,08/05/2023,2023-05-18,cien,aprox 26,N/D,"USD 4,001.07",N/A,NINGUNO,N/D,(2),Resultado: 'N/A' según informe final
364,6,22,14,comunidad 2022,2022-11-19,11-30-2022,cincuenta,+8,11.,"USD 5,688.71",EXITOSA,cero,aprox. 10,,
365,4,13,7,Op Amparo - 2025/50,23/JUL/2025,2025-08-28,  100  ,~45,36 días,BS 146109,Incompleta,0 personas,200,cinco,"Ref. Op. 2025-7: Evacuación de familias afectadas
por crecida de ríos"
366,5,24,3,"Op. ""Fénix"" #34",2024-06-20,29-06-2024,200.,aprox 12,+9,Bs 256.115,satisfactorio,N/A,200,2 inc.,"Contención de incendio forestal
en zona protegida"
367,7,20,19,Operación Wiphala 2024-40,27/04/2024,2024-05-12,200,34,aprox. 15 días,106457,,-,100 KM2,(2),Evaluación de capacidades operativas
368,2,28,12,Op. Frontera #65,04-23-2025,26-04-2025,trescientos,(22 vehículos),3,"94,071.08 Bs",satisfactorio,15 detenidos,aprox. 250,n/a,S/N
369,1,50,8,Operación Águila 2021,12-29-2021,31/12/2021,aprox. 150,19,2,"USD 13,167.80",BUENO,  1  ,aprox. 800 km²,0,"Incautación de precursores
químicos en laboratorio"
370,5,10,7,Sofocación (febrero 2023),10-15-2023,19/11/2023,500 efectivos,(31 vehículos),aprox. 35,147372.72,sin dato,Sin detenidos,aprox. 500,diez,Flora y fauna en riesgo — operación prioritaria
371,3,41,23,Filtro (diciembre 2024),14/12/2024,20/DIC/2024,  50  ,QUINCE,SEIS,132965.83,sin dato,8 personas,250 km2,aprox. 3,Control en punto fronterizo — resultado: sin dato
372,4,23,22,"Op. ""Protección Civil"" #51",17-ene-2025,02-28-2025,aprox. 300 efectivos,33,42 días,309712,Logrado,-,100 km2,2 incidentes,"Coordinación con Defensa Civil
y municipios afectados"
373,2,31,6,defensa 2022,2022/06/04,07-01-2022,trescientos,5,27,112107,Parcialmente exitosa,3,~200 km²,OCHO,Relevo de personal en posiciones avanzadas
374,1,47,1,OPERACIÓN PATRIA 2022,06/12/2022,23/12/2022,250 efectivos,+27,aprox 17,"Bs 107.839,83",PARCIAL,NINGUNO,aprox. 50,aprox. 5,"Operación coordinada con
FELCN y Policía Nacional"
375,6,30,11,"Op. ""Progreso"" #32",2022/02/25,2022/03/03,TREINTA,seis,(6 días),7699,,Ninguno,50,Sin incidentes,
376,3,41,21,Op. Filtro #52,19/01/2024,26/ENE/2024,aprox. 150,aprox. 13,SIETE,68867,Parcialmente exitoso,5 det.,250 km²,2,
377,2,31,24,Op.Vigilancia/2022,30/11/2022,24-dic-2022,50 efectivos,aprox. 30,24.,"Bs.128,872",no reportado,1 pers.,200 KM2,1,"SE DETECTÓ MOVIMIENTO SOSPECHOSO
EN ZONA LIMÍTROFE"
378,4,12,17,Amparo—2021,2021/02/03,13/03/2021,~150,35,38 días,"Bs 159.689,81",exitoso,Ninguno,1000 KM2,diez,"Coordinación con Defensa Civil
y municipios afectados"
379,4,23,14,Auxilio—2021,24/ABR/2021,29-04-2021,100,18,5.,"USD 37,648.69",en curso,Sin detenidos,5000 km2,10,
380,3,40,11,OPERACIÓN FILTRO 2022,12-11-2022,19-11-2022,100 efectivos,  23  ,aprox 7,"Bs 124.339,17",Positivo,15 personas,aprox. 300,Sin incidentes,"Decomiso de
vehículos sin documentación"
381,3,31,11,Op. Rastreo #54,2024-01-04,2024/01/24,aprox. 120,aprox 7,20 días,"$us 8,477.37",Parcialmente exitosa,3 pers.,~50 km²,1,Control en punto fronterizo — resultado: Parcialmente exitosa
382,1,50,16,Frontera Segura (octubre 2023),"noviembre 2, 2023",2023/11/25,aprox 300,17,aprox 23,"Bs.69,837",INCOMPLETA,,aprox. 50 km²,uno,  Resultado: 'INCOMPLETA' según informe final  
383,2,34,12,Operación Patrulla 2023,2023-01-09,02/02/2023,~100,5,aprox. 24,"Bs. 134,948.14",sin resultados,  1  ,150 km2,1,"Se detectó movimiento sospechoso
en zona limítrofe"
384,4,23,7,"Op. ""Rescate"" #54",29/04/2023,12/JUN/2023,400,~37,44,220758.90,Pendiente de evaluación,sin detenidos,~200 km²,TRES,
385,2,34,6,Operación Guardián 2022-69,2022/11/13,2022-12-10,+250,21,aprox 27,BS 142768,exitosa,8 detenidos,1000 km2,1 inc.,Ref. Op. 2022-6: 
386,6,32,5,Operación 'Desarrollo',21/07/2022,07-22-2022,+50,CUATRO,1 día,BS 12815,Completada,0 personas,aprox. 100 km²,n/a,
387,2,28,23,Soberanía (mayo 2021),5-nov-2021,2021-11-16,80.,12,11,"Bs.- 55,111.69",Muy bueno,1,aprox. 500 km²,1 inc.,Ref. Op. 2021-23: 
388,5,10,7,Operación 'Cortafuego',2025/09/03,2025/10/06,quinientos,+21,33 días,Bs 155.060,Regular,N/A,5000 km2,0,"Helicópteros utilizados para
monitoreo aéreo del fuego"
389,3,30,21,Operación 'Filtro',10-03-2025,18/10/2025,~80,12,15,93945.49,exitosa,  2  ,300 km2,---,---
390,2,25,14,Operación Soberanía 2025,08-22-2025,2025/08/23,,,,,,,,,
391,1,50,8,  Frontera Segura 2025  ,3/MAY/2025,2025/05/08,80 efectivos,~12,(5 días),"Bs.63,028",No reportado,aprox. 2,1000 km²,1 incidentes,"Se establecieron puntos de control
en rutas secundarias"
392,1,49,16,Amanecer—2023,2023/07/22,2023/07/24,300 efectivos,aprox 10,2,"143,958.37 Bs",en proceso,2 det.,~800 km²,2 inc.,Resultado: 'en proceso' según informe final
393,8,34,14,Operación Alianza 2024-17,27-10-2024,2024-11-22,,,,,,,,,
394,3,31,24,Op.Blindaje/2023,06-07-2023,27/JUN/2023,150 efectivos,13.,+20,"Bs 143.986,36",PARCIAL,2 detenidos,300.0,1 incidentes,
395,7,12,6,Chaco—2025,2025-11-13,11-19-2025,100 efectivos,13.,seis,BS 92267,aceptable,NINGUNO,50 Km2,0 incidentes,Ejercicio táctico con fuego real
396,4,11,13,Op Amparo - 2023/55,2023-04-06,06/05/2023,100,29.,30 días,"USD 30,957.87",Favorable,,100 KM2,sin incidentes,Rescate en zonas 'inundadas' por desborde
397,3,34,14,  Muralla 2024  ,2/JUL/2024,31-07-2024,120 efectivos,28,29,"Bs 32.978,94",No reportado,1,150,8,"Decomiso de
vehículos sin documentación"
398,3,40,23,Op.Control Total/2025,13/SEP/2025,20250919,aprox 80,~20,~6,38885 bolivianos,sin éxito,20 pers.,200 km2,SIN INCIDENTES,
399,6,6,2,Op Integración - 2022/34,07-13-2022,12/AGO/2022,cincuenta,(4 vehículos),aprox 30,"USD 2,248.26",logrado,Sin detenidos,10,0,Campaña de vacunación — apoyo logístico militar
400,7,11,9,cóndor 2022,22/MAY/2022,4/JUN/2022,50,aprox. 17 vehículos,13 días,"Bs 55.488,16",Logrado,sin detenidos,500 km2,1,Entrenamiento de supervivencia en selva
401,2,32,13,Guardián (octubre 2025),11-21-2025,"noviembre 30, 2025",250,  6  ,9.,Bs 21.325,,NULL,1000,(2),Control de 'puntos ciegos' en la frontera
402,2,28,14,Op. Protección #73,2024/06/27,02/07/2024,CIENTO CINCUENTA,~26,5,"Bs 81.163,05",satisfactorio,Ninguno,200 KM2,1,Patrullaje de rutina sin novedades
403,8,50,14,"Op. ""Confluencia"" #18",2021/04/28,05-02-2021,(200 efectivos),15 vehículos,(4 días),"USD 25,808.80",satisfactorio,cero,100.0,Sin incidentes,Observadores internacionales presentes
404,1,50,2,Operación Tormenta 2021-75,08/05/2021,18-05-2021,  300  ,+13,aprox. 10 días,"Bs. 134,077.53",inconclusa,15 detenidos,~200 km²,3,Resultado: 'inconclusa' según informe final
405,1,48,2,Op. Escudo #76,24/06/2024,07-22-2024,100 efectivos,aprox. 20 vehículos,28,"Bs.52,260",Exitoso,1,200 Km2,UNO,Operación nocturna — visibilidad reducida
406,5,11,3,Operación Llama 2024-37,08-05-2024,14-sep-2024,aprox. 150,37,40.,"Bs. 471,003.15",Sin resultados concretos,ninguno,2000 km²,0,"Contención de incendio forestal
en zona protegida"
407,7,5,7,Op.Wiphala/2021,"noviembre 29, 2021",30/11/2021,300 efectivos,28,UNO,"152,265.34 Bs",en curso,0,1000 km²,1 inc.,Ejercicio táctico con fuego real
408,2,34,9,Op. Soberanía #74,2025/12/21,31/DIC/2025,,,,,,,,,
409,1,47,16,Operación Relámpago 2021,"junio 19, 2021",2021/06/26,120 efectivos,20.,SIETE,"19,748.05 Bs",en proceso,3 personas,200 Km2,  3  ,"Zona de difícil acceso, se requirió apoyo aéreo"
410,1,49,1,Operación Centinela 2022-78,20220609,11/JUN/2022,aprox 250,21,(2 días),108592,aceptable,quince,  200 km2  ,UNO,
411,6,8,11,"Op. ""Alianza"" #35",22-sep-2023,10-12-2023,50,  6  ,aprox 20,Bs 7.110,objetivo cumplido,ninguno,aprox. 50 km²,Sin incidentes,Campaña de vacunación — apoyo logístico militar
412,7,25,19,Operación Wiphala 2024-44,20240911,2024/09/28,aprox 50,aprox 7,17.,"Bs 62.027,64",Parcialmente exitoso,N/A,200,n/a,"Maniobras de simulación
de combate en terreno montañoso"
413,1,47,1,Op.Frontera Segura/2021,11-abr-2021,20210425,250,22,14,Bs 50.051,favorable,2 personas,1000,  2  ,Patrullaje con apoyo de unidades caninas
414,8,45,6,"Op. ""Cruz del Sur"" #19",11/05/2021,30/05/2021,300,8,19.,34987.58,en curso,,aprox. 500,0,Ejercicio multinacional — fuerzas de 4 países
415,6,16,4,OPERACIÓN COOPERACIÓN 2023,2023-01-09,20230207,aprox 100,aprox. 3,29.,36683.33,parcial,,50 km²,N/A,
416,6,23,24,Op. Desarrollo #37,2024-03-26,31/03/2024,20,5,5 días,Bs 18.521,Positivo,Sin detenidos,10 km²,,Apoyo en festividad 'patronal' del municipio
417,5,10,7,Sofocación (marzo 2025),06-12-2025,2025/07/23,+300,aprox 43,41,"Bs 56.270,99",satisfactorio,cero,100,TRES,"Contención de incendio forestal
en zona protegida"
418,3,32,12,Operación Control Total 2023,"mayo 8, 2023",21/05/2023,(80 efectivos),22,13 días,"USD 5,616.66",Muy bueno,quince,aprox. 250 km²,5,Coordinación con Aduana Nacional
419,3,30,11,Op. Cerco #59,10/NOV/2024,16-nov-2024,aprox 250,12,+6,"Bs. 74,488.80",Parcialmente exitosa,2 personas,150 KM2,3,
420,1,49,2,Op. Escudo #80,02-05-2025,"mayo 24, 2025",(100 efectivos),20,~22,71889,en proceso,2 pers.,  50 km2  ,2,"  Zona de difícil acceso, se requirió apoyo aéreo  "
421,6,31,18,Op.Hermandad/2022,27/02/2022,03-23-2022,aprox. 100 efectivos,QUINCE,24 días,38888 bolivianos,Incompleta,0,  100 km2  ,SIN INCIDENTES,Apoyo en festividad 'patronal' del municipio
422,1,50,16,Op. Trueno #81,"diciembre 29, 2025",31-dic-2025,(150 efectivos),23,(2 días),"97,354.53 Bs",Muy bueno,2 personas,150,aprox. 1,"Incautación de precursores
químicos en laboratorio"
423,8,32,25,  Alianza 2021  ,2021-10-07,28/10/2021,aprox. 200 efectivos,~14,21 días,"USD 23,262.68",bueno,n/a,500 km2,sin incidentes,Observadores internacionales presentes
424,4,24,14,  Esperanza 2024  ,11/02/2024,02/03/2024,150,diez,veinte,"USD 17,982.06",Pendiente de evaluación,0 personas,1000,aprox. 5,"Puentes temporales instalados
por ingeniería militar"
425,3,39,12,Operación Barrera 2024,2024/10/31,"noviembre 16, 2024",120,aprox 24,16.,"Bs. 77,539.73",logrado,3,aprox. 50 km²,DOS,Mercadería retenida para verificación
426,7,22,8,"Op. ""Altiplano"" #45",23/07/2023,15-ago-2023,TRESCIENTOS,aprox. 17,+23,"Bs.157,429",Parcialmente exitoso,n/a,100 KM2,0,Ejercicio táctico con fuego real
427,2,41,12,Op. Frontera #75,10-02-2024,"octubre 25, 2024",(100 efectivos),7,23,Bs 78.262,EN PROCESO,aprox. 2,250 KM2,2 inc.,"Se detectó movimiento sospechoso
en zona limítrofe"
428,7,44,22,OPERACIÓN ILLIMANI 2025,08-06-2025,28/06/2025,cincuenta,aprox 8,aprox 20,"$us 9,840.83",OBJETIVO CUMPLIDO,sin detenidos,500 KM2,aprox. 1,Entrenamiento de supervivencia en selva
429,4,11,14,Op Emergencia - 2022/57,20-04-2022,2022/04/22,200,aprox 36,aprox. 2 días,97003.22,Satisfactorio,N/A,~5000 km²,1,"Evacuación de familias afectadas
por crecida de ríos"
430,3,32,4,Operación Muralla 2023-61,20230727,08-22-2023,aprox 300,23,aprox. 26,"Bs. 100,422.59",OBJETIVO CUMPLIDO,2 personas,150,aprox. 3,
431,6,47,21,Operación Hermandad 2025,10-nov-2025,2025-11-25,50,aprox. 3 vehículos,quince,"Bs.- 22,626.31",Éxito,Sin detenidos,20 km²,0 incidentes,Ref. Op. 2025-21: Distribución de víveres a comunidades alejadas
432,1,48,16,Operación Águila 2024,27-05-2024,2024/06/13,aprox. 50 efectivos,11 vehículos,diecisiete,112041 bolivianos,resultado positivo,1 detenidos,1000 km2,3 incidentes,Patrullaje con apoyo de unidades caninas
433,2,34,4,  Vigía 2022  ,11-15-2022,13/12/2022,+250,15 vehículos,~28,"USD 17,269.00",PARCIAL,3 detenidos,500 Km2,SIN INCIDENTES,"Coordinación con fuerzas
del país vecino"
434,1,45,16,Op Águila - 2025/83,22-may-2025,2025-06-08,aprox. 120,18.,  17  ,52897,INCOMPLETA,quince,50 km2,5 incidentes,"Incautación de precursores
químicos en laboratorio"
435,1,46,8,Operación 'Trueno',20220821,09/09/2022,80,22,19 días,"Bs.- 50,892.92",sin éxito,Sin detenidos,800 km2,3 incidentes,Patrullaje con apoyo de unidades caninas
436,7,34,6,Cóndor (diciembre 2021),13-05-2021,"mayo 22, 2021",(500 efectivos),11,(9 días),127318,Logrado,Ninguno,500 km2,  2  ,Evaluación de capacidades operativas
437,4,22,17,amparo 2022,20/10/2022,03/12/2022,aprox. 100,aprox. 34 vehículos,~44,"USD 61,600.01",OBJETIVO CUMPLIDO,,200 Km2,ninguno,Ref. Op. 2022-17: 
438,2,31,21,Patrulla (septiembre 2025),10-16-2025,14/11/2025,aprox. 150 efectivos,(20 vehículos),29,"$us 16,778.99",sin dato,3 personas,~500 km²,tres,"SE DETECTÓ MOVIMIENTO SOSPECHOSO
EN ZONA LIMÍTROFE"
439,1,49,1,OPERACIÓN CENTINELA 2021,26/09/2021,28/09/2021,+120,21,aprox. 2 días,39442 bolivianos,N/A,  2  ,100 km2,UNO,Resultado: 'N/A' según informe final
440,2,32,4,Operación Patrulla 2021-78,"julio 23, 2021",2021/08/20,80 efectivos,  15  ,28 días,126534.54,sin resultados,-,300 km2,uno,"Se detectó movimiento sospechoso
en zona limítrofe"
441,7,41,15,Sajama (octubre 2021),2021/05/28,6-jun-2021,500 efectivos,aprox. 22,9 días,Bs 149.800,-,n/a,500 Km2,1,Ejercicio de 'guerra no convencional'
442,3,30,4,"Op. ""Candado"" #62",28/DIC/2021,12-31-2021,100,  12  ,aprox 3,"Bs 142.362,40",Regular,8 detenidos,aprox. 250 km²,5,Operativo en 'ruta del contrabando'
443,3,39,22,Operación 'Rastreo',20210406,20210423,aprox 300,13.,17 días,"28,635.78 Bs",sin resultados,1 detenidos,800 km2,tres,"DECOMISO DE
VEHÍCULOS SIN DOCUMENTACIÓN"
444,5,22,22,  Extinción 2023  ,10-15-2023,2023/11/20,aprox. 500,  33  ,36.,"USD 7,776.34",concluida,ninguno,1000 KM2,aprox. 5,
445,1,47,16,Operación 'Frontera Segura',2022/04/09,2022-04-24,150,23 vehículos,15 días,"Bs.- 134,515.21",objetivo cumplido,3 det.,100 Km2,1 incidentes,Ref. Op. 2022-16: Decomiso de sustancias controladas en zona operativa
446,6,6,15,Operación 'Comunidad',20241105,16/NOV/2024,aprox. 100 efectivos,  7  ,once,"Bs 21.691,87",satisfactorio,Ninguno,100 km2,SIN INCIDENTES,Apoyo en festividad 'patronal' del municipio
447,2,31,4,Operación Frontera 2023,03-22-2023,04/04/2023,aprox 200,10,aprox. 13,BS 87063,En proceso,3 detenidos,150 Km2,2,"Se detectó movimiento sospechoso
en zona limítrofe"
448,1,48,2,Operación 'Centinela',2021/04/15,23/04/2021,150,15,  8  ,Bs 121.291,Completada,3 det.,1000 km2,5 inc.,Resultado: 'Completada' según informe final
449,3,30,4,Op Control Total - 2021/64,"septiembre 25, 2021",10/10/2021,100,aprox 30,15,"Bs.90,624",COMPLETADA,n/a,300.0,SIN INCIDENTES,Operativo en 'ruta del contrabando'
450,4,12,17,Emergencia—2021,4-feb-2021,24-feb-2021,quinientos,24,aprox. 20 días,437202.87,POSITIVO,n/a,2000 km²,3 incidentes,"Evacuación de familias afectadas
por crecida de ríos"
451,3,34,21,Filtro (julio 2021),"julio 31, 2021",14-08-2021,100,22,aprox 14,114658.19,S/N,8 personas,50.0,1 inc.,"Decomiso de
vehículos sin documentación"
452,1,48,2,Cóndor Dorado—2023,3/JUN/2023,09/06/2023,~250,  13  ,(6 días),BS 65650,S/N,uno,500,0 incidentes,
453,2,32,23,"Op. ""Patrulla"" #80",2024-01-30,02-09-2024,~80,21,10,"$us 18,874.59",Logrado,2,250 km²,N/A,"Coordinación con fuerzas
del país vecino"
454,1,48,1,patria 2023,2023-09-07,1/OCT/2023,cincuenta,12 vehículos,24.,"Bs 135.702,09",finalizada,2 pers.,  1000 km2  ,uno,"Se establecieron puntos de control
en rutas secundarias"
455,2,34,6,Centinela (enero 2024),04-26-2024,05-21-2024,~200,20,  25  ,"Bs 125.245,32",No reportado,cero,250 km²,3,
456,3,32,22,candado 2021,2021-07-21,12/AGO/2021,~80,aprox. 25,(22 días),86812.33,Completada,3,aprox. 150,cero,Operativo en 'ruta del contrabando'
457,7,17,19,Cóndor—2023,20230703,26/07/2023,cincuenta,~18,aprox. 23,"54,884.38 Bs",EN PROCESO,-,  50 km2  ,1,"  Maniobras de simulación
de combate en terreno montañoso  "
458,3,31,21,Op Muralla - 2022/67,01-09-2022,30-01-2022,80,18 vehículos,21 días,"Bs 136.576,51",FAVORABLE,15 personas,50 Km2,Sin incidentes,CONTROL EN PUNTO FRONTERIZO — RESULTADO: FAVORABLE
459,1,49,2,OPERACIÓN CÓNDOR DORADO 2023,2023/07/06,07-30-2023,+300,~29,aprox 24,"65,152.33 Bs",Bueno,0,300.0,DOS,  Patrullaje con apoyo de unidades caninas  
460,6,47,16,"Op. ""Unidad"" #41",15-jul-2024,18/07/2024,aprox. 30,(11 vehículos),3 días,BS 12252,no reportado,Sin detenidos,20,1 inc.,Apoyo en festividad 'patronal' del municipio
461,3,31,4,Cerco—2025,"diciembre 1, 2025",13/12/2025,80,24,12,145887 bolivianos,finalizada,5,800 km2,8,OPERATIVO EN 'RUTA DEL CONTRABANDO'
